원본질문데이터	원본정답데이터	작업자질문데이터	작업자정답데이터	VALUE	property	resource	초기작업번호	보기	작업데이터	OX작업번호	OX작업
'뉴욕'의 별명은(는) 무엇인가요?	'뉴욕'의 별명은(는) 고섬시티(이)에요.	'뉴욕'을 다르게 부르는 이름은 무엇인가요?	'뉴욕'을 다르게 부르는 이름 중 하나는 고섬시티이에요.	고섬시티	별명	뉴욕	217	'뉴욕'의 별명은(는) 고섬시티(이)에요.	'뉴욕'을 다르게 부르는 이름 중 하나는 고섬시티이에요.	1712	"O,O,O"
건양대학교'은(는) 어느 나라에 있나요?	건양대학교'은(는) 대한민국에 있어요.	어느 나라에 '건양대학교'가 있나요?	'건양대학교'가 있는 나라는 대한민국이에요	대한민국	국가	건양대학교	350	건양대학교'은(는) 어느 나라에 있나요?	어느 나라에 '건양대학교'가 있나요?	2767	"O,O,O"
'1992년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	'1992년_하계_올림픽'의 참가국은(는) 169개국(이)에요.	1992년_하계_올림픽에는 몇 개 나라가 참가했나요?	1992년_하계_올림픽에 참가한 나라는 169개 나라에요.	169개국	참가국	1992년_하계_올림픽	172	'1992년_하계_올림픽'의 참가국은(는) 얼마나 되나요?	1992년_하계_올림픽에는 몇 개 나라가 참가했나요?	1355	"O,O,O"
'니즈냐야퉁구스카_강'의 발원국은(는) 어디인가요?	'니즈냐야퉁구스카_강'의 발원국은(는) 러시아(이)에요.	'니즈냐야퉁구스카 강'이 시작되는 나라는 어느 곳인가요?	러시아가 '니즈냐야퉁구스카 강'의 발원국이에요	러시아	발원국	니즈냐야퉁구스카_강	256	'니즈냐야퉁구스카_강'의 발원국은(는) 어디인가요?	'니즈냐야퉁구스카 강'이 시작되는 나라는 어느 곳인가요?	2019	"O,O,O"
김책'의 생일은(는) 언제인가요?	'김책'의 생일은(는) 1903-08-14(이)에요.	김책이 태어난 날은 언제인가요?	김책이 태어난 날은 1903년 8월 14일이에요.	1903.8.14	생일	김책	85	'김책'의 생일은(는) 1903-08-14(이)에요.	김책이 태어난 날은 1903년 8월 14일이에요.	678	"O,O,O"
단_셰흐트만'은(는) 어디 소속인가요?	단_셰흐트만' 미국_국립표준기술연구소 소속이에요.	단 셰흐트만은 어디에 소속되어있나요?	단 셰흐트만은 미국 국립표준기술연구소 소속되어 있어요.	미국_국립표준기술연구소	소속	단_셰흐트만	289	단_셰흐트만' 미국_국립표준기술연구소 소속이에요.	단 셰흐트만은 미국 국립표준기술연구소 소속되어 있어요.	2278	"O,O"
'2012년_하계_올림픽'의 참가선수은(는) 얼마나 되나요?	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	2012년 하계 올림픽에는 몇명의 선수가 참여했나요?	2012년 하계 올림픽에는 10768명의 선수가 참여했어요.	10768명	참가선수	2012년_하계_올림픽	183	'2012년_하계_올림픽'의 참가선수은(는) 10768명(이)에요.	2012년 하계 올림픽에는 10768명의 선수가 참여했어요.	1442	"O,O,O"
강남대학교'은(는) 어느 나라에 있나요?	강남대학교'은(는) 대한민국에 있어요.	강남대학교가 위치한 나라는 어디인가요?	강남대학교는 대한민국에 위치해 있어요.	대한민국	국가	강남대학교	344	강남대학교'은(는) 대한민국에 있어요.	강남대학교는 대한민국에 위치해 있어요.	2718	"O,O,O"
'나일_강'의 하구은(는) 어디인가요?	'나일_강'의 하구은(는) 지중해(이)에요.	나일강은 어디에서 끝나나요?	나일강은 지중해에서 끝나요.	지중해	하구	나일_강	274	'나일_강'의 하구은(는) 어디인가요?	나일강은 어디에서 끝나나요?	2161	"O,O,O"
게르하르트_호흐실트'은(는) 어디 소속인가요?	게르하르트_호흐실트' 일리노이_대학교_어배너-섐페인 소속이에요.	게르하르트_호흐실트가 몸 담고 있는 곳은 어디에요?	게르하르트_호흐실트가 속해 있는 곳은  일리노이대학교 어배너섐페인이에요.	일리노이_대학교_어배너-섐페인	소속	게르하르트_호흐실트	281	게르하르트_호흐실트'은(는) 어디 소속인가요?	게르하르트_호흐실트가 몸 담고 있는 곳은 어디에요?	2219	"O,O,O"
